,STATION,DATE,DEWP,DEWP_ATTRIBUTES,ELEVATION,FRSHTT,GUST,LATITUDE,LONGITUDE,MAX,MAX_ATTRIBUTES,MIN,MIN_ATTRIBUTES,MXSPD,NAME,PRCP,PRCP_ATTRIBUTES,SLP,SLP_ATTRIBUTES,SNDP,STP,STP_ATTRIBUTES,TEMP,TEMP_ATTRIBUTES,VISIB,VISIB_ATTRIBUTES,WDSP,WDSP_ATTRIBUTES
0,26060099999,1990-02-03,33.1,4,2.0,10000,999.9,59.917,29.767,35.6, ,33.3, ,999.9,"LOMONOSOV, RS",0.04,E,1010.5,4,2.4,999.9,0,34.3,4,6.2,4,999.9,0
1,26060099999,1990-02-13,27.2,4,2.0,0,999.9,59.917,29.767,33.3,*,30.4, ,5.8,"LOMONOSOV, RS",0.0,A,1002.7,4,999.9,999.9,0,31.8,4,999.9,0,5.8,4
2,26060099999,1990-04-29,31.4,4,2.0,0,23.3,59.917,29.767,55.0, ,43.7, ,11.7,"LOMONOSOV, RS",0.0,B,1014.9,4,999.9,999.9,0,50.4,4,10.9,4,7.8,4
3,26063099999,1990-01-01,23.5,8,24.07,0,21.4,59.800292000000006,30.262503000000002,30.2,*,23.4,*,9.7,"PULKOVO, RS",0.0,C,1020.3,8,1.6,19.5,8,27.5,8,6.2,8,7.0,8
4,26063099999,1990-01-02,18.2,8,24.07,1000,999.9,59.800292000000006,30.262503000000002,24.6, ,17.4,*,5.8,"PULKOVO, RS",0.0,E,1020.4,8,1.6,19.6,8,22.2,8,6.2,8,3.6,8
5,26063099999,1990-01-03,5.9,7,24.07,0,999.9,59.800292000000006,30.262503000000002,15.1,*,5.0,*,3.9,"PULKOVO, RS",0.0,E,1029.2,6,32.7,28.3,6,10.2,7,6.2,7,2.2,7
6,26063099999,1990-01-04,8.4,8,24.07,1000,999.9,59.800292000000006,30.262503000000002,18.5, ,4.5,*,7.8,"PULKOVO, RS",0.02,E,1028.8,8,999.9,28.0,8,12.6,8,5.1,8,5.3,8
7,26063099999,1990-01-05,26.2,8,24.07,1000,999.9,59.800292000000006,30.262503000000002,32.2, ,16.5, ,9.7,"PULKOVO, RS",0.08,F,1015.7,8,2.0,14.9,8,28.7,8,3.9,8,8.0,8
8,26063099999,1990-01-06,28.3,8,24.07,1000,999.9,59.800292000000006,30.262503000000002,31.8, ,29.7,*,7.8,"PULKOVO, RS",0.0,F,1018.7,8,999.9,17.9,8,30.7,8,5.7,8,5.3,8
9,26063099999,1990-01-07,27.3,8,24.07,10000,19.4,59.800292000000006,30.262503000000002,33.1,*,28.9,*,11.7,"PULKOVO, RS",0.0,E,1023.9,8,2.8,23.2,8,30.3,8,6.2,8,6.3,8
10,26063099999,1990-01-08,31.1,8,24.07,1000,23.3,59.800292000000006,30.262503000000002,35.4, ,31.1, ,11.7,"PULKOVO, RS",0.0,E,1013.7,9,999.9,12.9,9,33.9,9,5.4,9,7.6,9
11,26063099999,1990-01-09,29.1,8,24.07,1000,999.9,59.800292000000006,30.262503000000002,33.6, ,29.5,*,7.8,"PULKOVO, RS",0.04,E,1006.2,8,2.0,5.5,8,31.8,8,5.7,8,6.3,8
12,26063099999,1990-01-10,29.9,8,24.07,11000,999.9,59.800292000000006,30.262503000000002,33.3, ,30.9, ,7.8,"PULKOVO, RS",0.28,F,1000.4,8,999.9,999.6,8,32.8,8,5.1,8,6.1,8
13,26063099999,1990-01-11,15.4,8,24.07,1000,23.3,59.800292000000006,30.262503000000002,32.5,*,5.5,*,9.7,"PULKOVO, RS",0.04,F,1005.5,8,999.9,4.7,8,20.2,8,4.3,8,5.6,8
14,26063099999,1990-01-12,-10.8,7,24.07,0,23.3,59.800292000000006,30.262503000000002,0.9,*,-9.0,*,7.8,"PULKOVO, RS",0.0,E,1024.0,7,999.9,23.2,7,-4.7,7,6.2,7,3.3,7
